ID,Category,lat,lng,xIndex,yIndex
4b566c58f964a520b70f28e3,Library,35.68459004,139.7817081,96,140
4b920816f964a5202ce433e3,Library,35.67521511,139.677895,91,93
4cfed88735ae2d43e468e2f1,Library,35.76513641,139.7287174,141,116
4cd4e23d122ba14309b828a1,Library,35.61162205,139.7226665,56,114
4b57e8bdf964a520eb4528e3,Library,35.65208309,139.7264707,78,115
4e0847da483b98d417156e71,Library,35.70467657,139.5354103,107,29
4dd4bfc2ae60a78cec5dee46,Library,35.68760952,139.7143659,98,110
4b651b4bf964a52077e42ae3,Library,35.6121362,139.7107047,56,108
4cec8d2c3b03f04d40942fdc,Library,35.65573321,139.7000939,80,103
4b8a1e11f964a520a86032e3,Library,35.69497692,139.6144938,102,65
4b5c2249f964a5203e2529e3,Library,35.73687099,139.6362754,125,75
4d96fbd2daec224bfa1b243e,Library,35.58638557,139.7280339,42,116
4b5e94a8f964a520169329e3,Library,35.69506406,139.6374938,102,75
4b72b9f3f964a520ae852de3,Library,35.72695253,139.7189713,120,112
4b639cc1f964a520fe862ae3,Library,35.768524,139.870745,143,181
4b5fc560f964a52032cc29e3,Library,35.60080077,139.6918917,50,100
4b7fb898f964a520983a30e3,Library,35.69690253,139.8393327,103,167
4b639e01f964a52053872ae3,Library,35.67045186,139.77202,88,136
4bb806bd53649c74d9a846fb,Library,35.58162032,139.6762075,39,93
4b7a8ec5f964a52014312fe3,Library,35.748098,139.567988,131,44
4b661650f964a520f1122be3,Library,35.595436,139.710527,47,108
4c5284def31a9c74cffa81ea,Library,35.73857051,139.7169435,126,111
4b6d08f6f964a52011642ce3,Library,35.7169618,139.7401392,114,122
4bb801fd3db7b713adea209a,Library,35.71739299,139.7893846,114,144
4e0ecd94b0fb59de67da571d,Library,35.73737255,139.8455213,126,169
4b5baa73f964a520af0e29e3,Library,35.54507724,139.5708168,19,45
4ba316a8f964a5204f2b38e3,Library,35.64224247,139.7339307,73,119
4b6cb856f964a520ef4e2ce3,Library,35.80096852,139.7185099,161,112
4b80aa4af964a520ad8430e3,Library,35.75691027,139.7295205,136,117
4c42af45cc410f474e3dad61,Library,35.77773603,139.7237617,148,114
4b7cddb5f964a520cda72fe3,Library,35.73721197,139.7473812,125,125
4b6e2971f964a520d8ae2ce3,Library,35.760868,139.586985,139,52
4b6e4620f964a5209bb52ce3,Library,35.66841449,139.6872568,87,98
4bef9990f2712d7f0df9fbd8,Library,35.63514233,139.5781821,69,48
4c8350e851ada1cdb2092510,Library,35.69327346,139.7684956,101,134
4bdbaf7d63c5c9b62b542968,Library,35.70142883,139.8510003,106,172
4b70b1def964a520162a2de3,Library,35.69087363,139.8458512,100,170
4b5badfaf964a5209a0f29e3,Library,35.77304758,139.521062,145,22
4e85686eb8f79bd5b4bbdf7d,Library,35.73120189,139.8904142,122,190
4eb62f266da1df9ffad3427f,Library,35.73146406,139.7484916,122,125
4ba9afd1f964a52065343ae3,Library,35.725196,139.761153,119,131
4b5d21a0f964a520db5329e3,Library,35.67852023,139.7442806,93,124
4b614ef9f964a520a30f2ae3,Library,35.71600796,139.6988708,114,103
4b74f9e4f964a520e6f92de3,Library,35.68898633,139.8268068,99,161
4c9ef97f542b224b3995f99f,Library,35.70194886,139.7141708,106,110
4ba583ccf964a5205a0e39e3,Library,35.70121537,139.7698528,105,135
4d15677081cea35d2569daec,Library,35.70359176,139.7618112,107,131
4e85d799a17cd14ccd8dfbd6,Library,35.70523032,139.767626,108,134
4b5e6bd1f964a520f98d29e3,Library,35.65387225,139.794995,79,147
4b6537bcf964a52053e92ae3,Library,35.65724549,139.6546376,81,83
4b551c43f964a52071db27e3,Library,35.60937555,139.6733093,55,91
4d8d7b9fc1b1721eec6d1a46,Library,35.68161402,139.8080742,95,152
4cd8cef07bb06dcb0cc5a4b2,Library,35.72326414,139.8615635,118,177
4cfb106bc6cca35df06a8a32,Library,35.71067232,139.835009,111,165
4c2737def1272d7f6cd587c5,Library,35.7105852,139.8237705,111,160
4b80d0fdf964a520858d30e3,Library,35.62548601,139.6953578,63,101
4bbe7fd885fbb71322f07067,Library,35.73742098,139.7954786,126,147
4cad6f698b57a1cd87e79775,Library,35.632821,139.703695,68,105
4b5d672cf964a520f45b29e3,Library,35.67595797,139.4838703,91,5
4b6250d8f964a520d2412ae3,Library,35.65989249,139.7501771,83,126
4ba5d3eef964a5207c2439e3,Library,35.65562249,139.9015117,80,195
4b94ed02f964a520138834e3,Library,35.65498829,139.7382107,80,121
4b8a0067f964a5200b5b32e3,Library,35.60413095,139.506127,52,15
4f8a5985e4b005979f234e23,Library,35.65403917,139.7055447,79,106
4b5ab551f964a52096d128e3,Library,35.6459149,139.6549094,75,83
4e366064ae60d86c3ac92cb6,Library,35.72378647,139.7324252,118,118
4b64ee1bf964a52081da2ae3,Library,35.69435174,139.7535127,102,128
4b5ea712f964a5200d9529e3,Library,35.57612244,139.6579939,36,84
4b62ae57f964a520d64e2ae3,Library,35.85861352,139.6588469,193,85
4b5b8d60f964a5207d0629e3,Library,35.736181,139.599764,125,58
4b65229af964a520c4e52ae3,Library,35.67225386,139.7054958,89,106
4eb104ef61afbb09a02d618b,Library,35.67176905,139.7545736,89,128
4bef9ae1ea570f4769948fd2,Library,35.553456,139.737379,24,120
4b6933b7f964a520939b2be3,Library,35.64569694,139.488312,75,7
4b63eb06f964a52009972ae3,Library,35.65100206,139.5411193,78,31
4b77fc04f964a520fab02ee3,Library,35.7260859,139.5378202,119,30
4e26701eae609b2f94e74f88,Library,35.65959492,139.7528323,82,127
4c20703f63750f47129abc67,Library,35.67962268,139.7414321,93,122
4bee0c2a4daaa59369b48f61,Library,35.72599567,139.6789907,119,94
4b89fefdf964a520ba5a32e3,Library,35.53180714,139.6986777,11,103
4b750000f964a520a1fa2de3,Library,35.72755622,139.7437314,120,123
4bd3ee929854d13a26e9fe4d,Library,35.705415,139.902933,108,195
4c12e849a9c220a1d9f0549d,Library,35.77809144,139.6325648,148,73
4b6012bef964a520f3d429e3,Library,35.6515295,139.637754,78,75
4c0cd351c700c9b67964a1dd,Library,35.59172342,139.7344208,45,119
4d265dc26e27a143dc900424,Library,35.69230374,139.7003737,101,104
4b707c58f964a520681d2de3,Library,35.66709398,139.8171186,87,157
4c440ba88c1f20a137e23b99,Library,35.69881431,139.759625,104,130
4b5bf89cf964a520811f29e3,Library,35.65261425,139.6868227,79,97
4ef5f11f6d8657fd6b8cbed7,Library,35.66543786,139.6382797,86,75
4be11f060365c9b64af9b238,Library,35.751458,139.639235,133,76
4b5eb316f964a5204a9629e3,Library,35.66766782,139.625234,87,70
4b63f2e1f964a5205b982ae3,Library,35.604142,139.505956,52,15
4b593e94f964a520ca8228e3,Library,35.6894656,139.7396725,99,121
4b58f960f964a520547628e3,Library,35.68161949,139.6229294,95,68
4b566bb7f964a520a30f28e3,Library,35.60577739,139.6523988,53,82
4e77f2f03151da6653f09e86,Library,35.72542613,139.8076424,119,152
4bc3ba02920eb71303ed1d2c,Library,35.68995357,139.8995268,99,194
4e521d4bb61c097de676397b,Library,35.67134742,139.7554064,89,129
4b9b2e93f964a52060f835e3,Library,35.63561012,139.7077489,69,107
4b5a81e1f964a520bfc828e3,Library,35.60518423,139.6151161,52,65
4b5d0e7ef964a520b45029e3,Library,35.70828175,139.756825,109,129
4b616063f964a52076112ae3,Library,35.75999488,139.6914947,138,100
4b55ef37f964a52070f727e3,Library,35.64326004,139.6986991,73,103
4b5e444cf964a520cf8629e3,Library,35.702191,139.6270181,106,70
4b637f57f964a5207a7e2ae3,Library,35.6670918,139.5061246,87,15
4b63d5b9f964a5208a932ae3,Library,35.63773642,139.64432,70,78
4b6e58aef964a5207db92ce3,Library,35.6621604,139.7823787,84,141
4e953ff18b8105c15e85e6f2,Library,35.66945472,139.755203,88,128
4b8084e5f964a5206e7930e3,Library,35.7338606,139.732898,124,118
4b57a885f964a520233a28e3,Library,35.7043257,139.6718395,107,91
