,ID,Category,lat,lng
40,4b5bd0a2f964a520c31729e3,Shrine,35.676202,139.6993697
56,4d7c3f10645ea35d87ec42f8,Shrine,35.75349396,139.8702287
119,4b5e11e3f964a520ec7b29e3,Shrine,35.66750364,139.4789672
203,4b7b4b3cf964a520f05c2fe3,Shrine,35.61702054,139.7433847
207,4bc0277e920eb713a9a4182c,Scenic Lookout,35.61494535,139.5769387
521,4d1e58a8b69c6dcb78cc5c95,Shrine,35.5545614,139.576318
614,4c1a0d22838020a1c090e661,Temple,35.63655492,139.7346032
638,4b76248cf964a520ac3f2ee3,Historic Site,35.68363581,139.7615486
651,4b80b193f964a520a08630e3,Scenic Lookout,35.67326488,139.7203016
661,4cb0af673f0676b0a826fc0c,Historic Site,35.68379267,139.7593117
668,4b935fedf964a520d94134e3,Spiritual Center,35.63038772,139.729102
678,4b7c17c1f964a520787c2fe3,Historic Site,35.68403232,139.758566
741,4b7a93d0f964a520fb312fe3,Historic Site,35.6785856,139.7536629
783,4c38e3001e06d13a929f783e,Shrine,35.68279921,139.6962261
784,4b7bee49f964a5205c742fe3,Historic Site,35.68375019,139.7456042
848,4b7d736ef964a5202abf2fe3,Historic Site,35.69141748,139.7361696
931,4b5bb51df964a520481129e3,Temple,35.53376287,139.7294641
933,4f28c9aee4b0abca063d049a,Temple,35.65943416,139.7510612
1153,4b76269cf964a5203c402ee3,Historic Site,35.68586669,139.7603953
1228,4f694d11e4b0cb40746676bf,Church,35.70065878,139.6223257
1436,4b78e263f964a52070e52ee3,Temple,35.85896568,139.6520448
1463,4eb1e91f10814a0a5c9ca3e3,Spiritual Center,35.67034182,139.7653292
1529,4b6f9834f964a52036f72ce3,Shrine,35.66129742,139.7426552
1549,4d36653ceba45481eae206f5,Shrine,35.57302593,139.6653754
1649,4b504919f964a520c31f27e3,Shrine,35.65739485,139.7066817
1732,4cc5b9f3c844721eaec9f001,Cemetery,35.64930202,139.5359105
1814,4d9eaabd36818cfa895af900,Shrine,35.69515366,139.7485156
1958,4e6c0ff2aeb750adf6274d53,Outdoors & Recreation,35.62346567,139.7072768
1985,4b559576f964a52023e827e3,Residential Building (Apartment / Condo),35.62739006,139.7512007
2009,4b0587a1f964a5207f9d22e3,Temple,35.71472744,139.7967339
2025,4e58a49562e1de72f6e68f0a,Temple,35.71408281,139.796015
2123,4b572472f964a5200b2828e3,Temple,35.71109047,139.7963583
2139,4e126be745dde6c62ddcaef4,Historic Site,35.67880783,139.7380686
2251,4b79883bf964a5205bff2ee3,Shrine,35.75609443,139.7333264
2302,4b429ccff964a5207bd725e3,Shrine,35.66475797,139.7484595
2442,4b7b933ef964a520b5672fe3,Cemetery,35.73858793,139.7369957
2632,4b68efe8f964a520f4932be3,Cemetery,35.68727403,139.7627074
2661,4b82bb9ef964a52021e130e3,Historic Site,35.68543098,139.757469
2696,4b82ba39f964a520c3e030e3,Historic Site,35.68619565,139.7581315
2753,4b5661b6f964a520050e28e3,Shrine,35.69353051,139.7051311
2794,4ebb958461aff66b685f65e2,Temple,35.701156,139.702759
2810,4bc7df460050b713479eb93b,Temple,35.63511848,139.7347888
3017,4b5661b6f964a520050e28e3,Shrine,35.69353051,139.7051311
3294,4ee83fa0f9abdbe45c207e28,Historic Site,35.75188581,139.6396973
3421,4cf07308899c6ea8ced3eac1,Shrine,35.56576374,139.6544695
3490,4d1e58a8b69c6dcb78cc5c95,Shrine,35.5545614,139.576318
3512,4b7225f2f964a5202e712de3,Temple,35.71210317,139.7710893
3661,4d7c3f10645ea35d87ec42f8,Shrine,35.75349396,139.8702287
3832,4f744c56e4b0da86fd1124af,Historic Site,35.73891092,139.7610875
4053,4b9cb1cef964a520d57636e3,Shrine,35.7853475,139.6400124
4073,4b79883bf964a5205bff2ee3,Shrine,35.75609443,139.7333264
4092,4d7c3f10645ea35d87ec42f8,Shrine,35.75349396,139.8702287
4350,4e697b82b993d5439ec4c899,Historic Site,35.69335896,139.5594762
4412,4d1e58a8b69c6dcb78cc5c95,Shrine,35.5545614,139.576318
4446,4e2e1ecad4c058fdbee7151c,Historic Site,35.64995588,139.7483495
4531,4cb0af673f0676b0a826fc0c,Historic Site,35.68379267,139.7593117
4658,4b7c97cdf964a520c19c2fe3,Historic Site,35.67882526,139.7595799
4660,4b716774f964a520e5442de3,Historic Site,35.67598411,139.7605348
4663,4f08221ee4b0ef60ed33b128,Historic Site,35.68425796,139.7744658
4685,4b6381a2f964a520487f2ae3,Cemetery,35.72247559,139.7198349
4756,4ecbb4d50e011bec7a99d89f,Historic Site,35.69729947,139.7678711
4794,4b5661b6f964a520050e28e3,Shrine,35.69353051,139.7051311
4808,4e9102dbbe7b7962e9c7a49d,Historic Site,35.68585268,139.7307178
5019,4b68efe8f964a520f4932be3,Cemetery,35.68727403,139.7627074
5119,4b73961af964a52009b52de3,Shrine,35.65498005,139.7498879
5190,4b63cf29f964a52098922ae3,Shrine,35.66957808,139.7479928
5245,4da43d3bc6e96ea84a56f85d,Historic Site,35.66476669,139.7534215
5340,4b82b764f964a52019e030e3,Historic Site,35.6753261,139.7592151
5367,4f7d73d3e4b01b2a52a2c2c7,Residential Building (Apartment / Condo),35.69101781,139.6404196
5440,4bdfcf270ee3a593dc7035b0,Scenic Lookout,35.68989257,139.6916234
5719,4e3a82d045dd8bab9ffefb71,Outdoors & Recreation,35.62400789,139.6370175
5746,4d1e58a8b69c6dcb78cc5c95,Shrine,35.5545614,139.576318
5760,4b572472f964a5200b2828e3,Temple,35.71109047,139.7963583
5801,4d7c3f10645ea35d87ec42f8,Shrine,35.75349396,139.8702287
5899,4f7ef777e4b0e160b7daa320,Residential Building (Apartment / Condo),35.60229121,139.7208558
5973,4b5aa689f964a52075cf28e3,Temple,35.69404024,139.6965104
